	2020-03-15 03:00:00	2020-03-16 03:00:00	2020-03-18 10:47:00	2020-03-18 19:30:00	2020-03-19 09:29:00	2020-03-19 12:00:00	2020-03-19 13:20:00	2020-03-20 15:25:00	2020-03-21 16:14:00	2020-03-22 14:15:00	2020-03-23 15:03:00	2020-03-24 14:49:00
Albany	8.0	12.0	23.0	36.0	36.0	36.0	43.0	61.0	88.0	123.0	127	146.0
Broome	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	7	7.0
Delaware	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3	3.0
Dutchess	7.0	10.0	16.0	20.0	20.0	20.0	31.0	36.0	49.0	82.0	100	124.0
Erie	3.0	6.0	7.0	7.0	7.0	7.0	28.0	31.0	38.0	54.0	87	107.0
Greene	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4	4.0
Herkimer	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0	4	4.0
Monroe	2.0	10.0	10.0	14.0	14.0	14.0	27.0	32.0	42.0	57.0	76	96.0
Montgomery	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3	3.0
Nassau	98.0	109.0	131.0	183.0	183.0	183.0	372.0	754.0	1234.0	1900.0	2442	2869.0
Orange	6.0	11.0	15.0	32.0	32.0	32.0	51.0	84.0	163.0	247.0	389	498.0
Putnam	2.0	2.0	2.0	2.0	2.0	2.0	5.0	7.0	22.0	37.0	45	45.0
Rockland	13.0	16.0	22.0	30.0	30.0	30.0	53.0	101.0	262.0	455.0	592	671.0
Saratoga	3.0	5.0	9.0	14.0	14.0	14.0	18.0	24.0	35.0	41.0	53	53.0
Schenectady	2.0	4.0	5.0	14.0	14.0	14.0	18.0	21.0	32.0	39.0	44	44.0
Suffolk	47.0	63.0	84.0	116.0	116.0	116.0	178.0	371.0	662.0	1034.0	1458	1880.0
Tioga	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1.0
Tompkins	1.0	1.0	2.0	3.0	3.0	3.0	6.0	7.0	11.0	13.0	15	15.0
Ulster	5.0	7.0	8.0	9.0	9.0	9.0	10.0	12.0	18.0	26.0	35	35.0
Westchester	196.0	220.0	380.0	538.0	538.0	538.0	798.0	1091.0	1387.0	1873.0	2894	3891.0
New York City	329.0	463.0	644.0	1339.0	1339.0	1339.0	2469.0	4408.0	6211.0	9045.0	12305	14904.0
Total Number of Positive Cases	729.0	950.0	1374.0	2382.0	2382.0	2382.0	4152.0	7102.0	10356.0	15168.0	20875	25665.0
Allegany	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2	2.0
Onondaga	0.0	1.0	2.0	2.0	2.0	2.0	5.0	8.0	17.0	29.0	52	52.0
Ontario	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	6.0	6	6.0
Clinton	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	4.0	6	6.0
Rensselaer	0.0	0.0	1.0	4.0	4.0	4.0	6.0	8.0	20.0	26.0	29	29.0
Sullivan	0.0	0.0	1.0	1.0	1.0	1.0	3.0	8.0	12.0	16.0	23	23.0
Wyoming	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	4	4.0
Chenango	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	3	3.0
Essex	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3	3.0
Hamilton	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2	2.0
Warren	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2	2.0
Washington	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3	3.0
Fulton	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1	1.0
Genesee	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1	1.0
Jefferson	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2	2.0
Niagara	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	4.0	6.0	10	10.0
Oneida	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	5.0	7	7.0
Schoharie	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1	1.0
Wayne	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	3.0	6	6.0
Columbia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	10	10.0
Livingston	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	3	3.0
Steuben	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	4	4.0
Cortland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2	2.0
Madison	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4	4.0
St. Lawrence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	1.0
Cayuga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2.0
Oswego	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1.0
Otsego	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1.0
