	Albany	Broome	Delaware	Dutchess	Erie	Greene	Herkimer	Monroe	Montgomery	Nassau	Orange	Putnam	Rockland	Saratoga	Schenectady	Suffolk	Tioga	Tompkins	Ulster	Westchester	New York City	Total Number of Positive Cases	Allegany	Onondaga	Ontario	Clinton	Rensselaer	Sullivan	Wyoming	Chenango	Essex	Hamilton	Warren	Washington	Fulton	Genesee	Jefferson	Niagara	Oneida	Schoharie	Wayne	Columbia	Livingston	Steuben	Cortland	Madison	St. Lawrence	Cayuga	Oswego	Otsego
2020-03-15 03:00:00	8.0	1.0	1.0	7.0	3.0	2.0	1.0	2.0	1.0	98.0	6.0	2.0	13.0	3.0	2.0	47.0	1.0	1.0	5.0	196.0	329.0	729.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-16 03:00:00	12.0	1.0	1.0	10.0	6.0	2.0	1.0	10.0	1.0	109.0	11.0	2.0	16.0	5.0	4.0	63.0	1.0	1.0	7.0	220.0	463.0	950.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-18 10:47:00	23.0	1.0	1.0	16.0	7.0	2.0	1.0	10.0	1.0	131.0	15.0	2.0	22.0	9.0	5.0	84.0	1.0	2.0	8.0	380.0	644.0	1374.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-18 19:30:00	36.0	1.0	1.0	20.0	7.0	2.0	1.0	14.0	2.0	183.0	32.0	2.0	30.0	14.0	14.0	116.0	1.0	3.0	9.0	538.0	1339.0	2382.0	2.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-19 09:29:00	36.0	1.0	1.0	20.0	7.0	2.0	1.0	14.0	2.0	183.0	32.0	2.0	30.0	14.0	14.0	116.0	1.0	3.0	9.0	538.0	1339.0	2382.0	2.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-19 12:00:00	36.0	1.0	1.0	20.0	7.0	2.0	1.0	14.0	2.0	183.0	32.0	2.0	30.0	14.0	14.0	116.0	1.0	3.0	9.0	538.0	1339.0	2382.0	2.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-19 13:20:00	43.0	2.0	1.0	31.0	28.0	2.0	1.0	27.0	2.0	372.0	51.0	5.0	53.0	18.0	18.0	178.0	1.0	6.0	10.0	798.0	2469.0	4152.0	2.0	5.0	1.0	2.0	6.0	3.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-20 15:25:00	61.0	2.0	1.0	36.0	31.0	2.0	2.0	32.0	2.0	754.0	84.0	7.0	101.0	24.0	21.0	371.0	1.0	7.0	12.0	1091.0	4408.0	7102.0	2.0	8.0	3.0	2.0	8.0	8.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-21 16:14:00	88.0	2.0	1.0	49.0	38.0	2.0	3.0	42.0	3.0	1234.0	163.0	22.0	262.0	35.0	32.0	662.0	1.0	11.0	18.0	1387.0	6211.0	10356.0	2.0	17.0	4.0	4.0	20.0	12.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2020-03-22 14:15:00	123.0	3.0	3.0	82.0	54.0	2.0	4.0	57.0	3.0	1900.0	247.0	37.0	455.0	41.0	39.0	1034.0	1.0	13.0	26.0	1873.0	9045.0	15168.0	2.0	29.0	6.0	4.0	26.0	16.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	5.0	1.0	3.0	5.0	2.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0
2020-03-23 15:03:00	127.0	7.0	3.0	100.0	87.0	4.0	4.0	76.0	3.0	2442.0	389.0	45.0	592.0	53.0	44.0	1458.0	1.0	15.0	35.0	2894.0	12305.0	20875.0	2.0	52.0	6.0	6.0	29.0	23.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	2.0	10.0	7.0	1.0	6.0	10.0	3.0	4.0	2.0	4.0	1.0	2.0	1.0	1.0
2020-03-24 14:49:00	146.0	7.0	3.0	124.0	107.0	4.0	4.0	96.0	3.0	2869.0	498.0	45.0	671.0	53.0	44.0	1880.0	1.0	15.0	35.0	3891.0	14904.0	25665.0	2.0	52.0	6.0	6.0	29.0	23.0	4.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	2.0	10.0	7.0	1.0	6.0	10.0	3.0	4.0	2.0	4.0	1.0	2.0	1.0	1.0
